"No.","Time","Source","Destination","Protocol","Length","Info"
"14735","217.823022","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14736","217.823038","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14737","217.823430","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14738","217.823452","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14739","217.823473","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14740","217.823487","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14741","217.823503","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14742","217.823517","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14743","217.823532","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14744","217.823545","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14745","217.823565","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14746","217.823583","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14748","217.824180","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14749","217.824247","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14751","217.824392","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14752","217.824564","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14754","217.825308","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14755","217.825358","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14757","217.825466","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14758","217.825558","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14760","217.825601","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14761","217.825684","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14763","217.825731","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14764","217.825813","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14766","217.825858","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14767","217.825917","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14769","217.825962","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14770","217.826013","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14772","217.826055","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14773","217.826088","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14775","217.826155","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14776","217.826235","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14778","217.826371","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14779","217.826403","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14780","217.826436","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14782","217.826488","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14784","217.826761","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14785","217.826799","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14786","217.826835","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14787","217.826862","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14788","217.826893","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14789","217.826968","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14790","217.827002","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14792","217.827053","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14794","217.827096","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"14796","217.827221","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14798","217.827760","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14800","217.827802","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14801","217.827837","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14802","217.827865","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14803","217.827899","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14804","217.827937","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14805","217.827968","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14806","217.828002","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14808","217.828078","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14810","217.828139","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14812","217.828577","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14814","217.828617","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14815","217.828651","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
